Date : 2025-06-12 22:57:11
Directory : d:\unity_project\My project\Assets\Scripts
Total : 94 files,  3278 codes, 167 comments, 696 blanks, all 4141 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         94 |      3,278 |        167 |        696 |      4,141 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                            |         94 |      3,278 |        167 |        696 |      4,141 |
| . (Files)                                                                                    |          1 |         13 |          2 |          3 |         18 |
| Audio                                                                                        |          2 |        164 |          2 |         29 |        195 |
| BackGround                                                                                   |          1 |         39 |          2 |         10 |         51 |
| BackGround\ThePrimordium                                                                     |          1 |         39 |          2 |         10 |         51 |
| CharacterStat                                                                                |          5 |        225 |          1 |         48 |        274 |
| Enemies                                                                                      |         28 |        924 |         16 |        201 |      1,141 |
| Enemies (Files)                                                                              |          3 |         92 |          4 |         32 |        128 |
| Enemies\Enemy_Skeleton_1                                                                     |          9 |        266 |          2 |         65 |        333 |
| Enemies\EvilWizard                                                                           |         16 |        566 |         10 |        104 |        680 |
| Inventory                                                                                    |          6 |        232 |          0 |         35 |        267 |
| Manager                                                                                      |         17 |        400 |         12 |        100 |        512 |
| Manager (Files)                                                                              |          2 |         48 |          3 |         11 |         62 |
| Manager\Controller                                                                           |          3 |         67 |          2 |         16 |         85 |
| Manager\RangedAttack                                                                         |          1 |         32 |          0 |          6 |         38 |
| Manager\Skill                                                                                |          6 |        110 |          4 |         31 |        145 |
| Manager\SpawnAndScene                                                                        |          5 |        143 |          3 |         36 |        182 |
| SaveLoad                                                                                     |          5 |        194 |          0 |         25 |        219 |
| UI                                                                                           |          8 |        195 |         19 |         33 |        247 |
| UI (Files)                                                                                   |          1 |         36 |          0 |          6 |         42 |
| UI\Backpack                                                                                  |          5 |        129 |         19 |         21 |        169 |
| UI\Backpack (Files)                                                                          |          2 |         69 |         19 |         10 |         98 |
| UI\Backpack\Bar                                                                              |          2 |         35 |          0 |          5 |         40 |
| UI\Backpack\ItemSlot                                                                         |          1 |         25 |          0 |          6 |         31 |
| UI\Bar                                                                                       |          2 |         30 |          0 |          6 |         36 |
| Violet                                                                                       |         20 |        871 |        113 |        205 |      1,189 |
| VisualEffect                                                                                 |          1 |         21 |          0 |          7 |         28 |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                     | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\unity_project\My project\Assets\Scripts\Audio\BGMManager.cs                               | C#       |         82 |          0 |         16 |         98 |
| d:\unity_project\My project\Assets\Scripts\Audio\MobsSEF.cs                                  | C#       |         82 |          2 |         13 |         97 |
| d:\unity_project\My project\Assets\Scripts\BackGround\ThePrimordium\ParallaxBackGround.cs    | C#       |         39 |          2 |         10 |         51 |
| d:\unity_project\My project\Assets\Scripts\CharacterStat\CharStats.cs                        | C#       |         67 |          1 |         11 |         79 |
| d:\unity_project\My project\Assets\Scripts\CharacterStat\EWizardStats.cs                     | C#       |         20 |          0 |          5 |         25 |
| d:\unity_project\My project\Assets\Scripts\CharacterStat\EnemyStats.cs                       | C#       |         28 |          0 |          6 |         34 |
| d:\unity_project\My project\Assets\Scripts\CharacterStat\Stat.cs                             | C#       |         25 |          0 |          7 |         32 |
| d:\unity_project\My project\Assets\Scripts\CharacterStat\VioletStats.cs                      | C#       |         85 |          0 |         19 |        104 |
| d:\unity_project\My project\Assets\Scripts\Enemies\Enemy.cs                                  | C#       |         43 |          2 |         14 |         59 |
| d:\unity_project\My project\Assets\Scripts\Enemies\EnemyState.cs                             | C#       |         33 |          2 |         12 |         47 |
| d:\unity_project\My project\Assets\Scripts\Enemies\EnemyStateMachine.cs                      | C#       |         16 |          0 |          6 |         22 |
| d:\unity_project\My project\Assets\Scripts\Enemies\Enemy_Skeleton_1\Skeleton1.cs             | C#       |         47 |          1 |         13 |         61 |
| d:\unity_project\My project\Assets\Scripts\Enemies\Enemy_Skeleton_1\Skeleton1AnimaTrigger.cs | C#       |         25 |          0 |          5 |         30 |
| d:\unity_project\My project\Assets\Scripts\Enemies\Enemy_Skeleton_1\Skeleton1AttackState.cs  | C#       |         25 |          0 |          5 |         30 |
| d:\unity_project\My project\Assets\Scripts\Enemies\Enemy_Skeleton_1\Skeleton1BattleState.cs  | C#       |         56 |          0 |         10 |         66 |
| d:\unity_project\My project\Assets\Scripts\Enemies\Enemy_Skeleton_1\Skeleton1DeadState.cs    | C#       |         19 |          0 |          5 |         24 |
